"clase","nombre_calse"
"101716                                                                                                                                                                                                                                                          ","Abonos químicos y nutrientes para plantas                                                                                                                                                                                                                       "
"101717                                                                                                                                                                                                                                                          ","Herbicidas                                                                                                                                                                                                                                                      "
"101718                                                                                                                                                                                                                                                          ","Acondicionadores de suelos                                                                                                                                                                                                                                      "
"101915                                                                                                                                                                                                                                                          ","Pesticidas o repelentes de plagas                                                                                                                                                                                                                               "
"101917                                                                                                                                                                                                                                                          ","Dispositivos para control de plagas                                                                                                                                                                                                                             "
"102015                                                                                                                                                                                                                                                          ","Rosales vivos azules o lavanda o púrpura                                                                                                                                                                                                                        "
"102016                                                                                                                                                                                                                                                          ","Rosales vivos chocolate o marrón                                                                                                                                                                                                                                "
"102017                                                                                                                                                                                                                                                          ","Rosales vivos crema                                                                                                                                                                                                                                             "
"102018                                                                                                                                                                                                                                                          ","Rosales vivos verdes o lima                                                                                                                                                                                                                                     "
"102019                                                                                                                                                                                                                                                          ","Rosales vivos rosado claro                                                                                                                                                                                                                                      "
"102020                                                                                                                                                                                                                                                          ","Rosales vivos multicolor rosados                                                                                                                                                                                                                                "
"102021                                                                                                                                                                                                                                                          ","Rosales vivos anaranjados                                                                                                                                                                                                                                       "
"102022                                                                                                                                                                                                                                                          ","Rosales vivos durazno                                                                                                                                                                                                                                           "
"102023                                                                                                                                                                                                                                                          ","Rosales vivos rosados                                                                                                                                                                                                                                           "
"102024                                                                                                                                                                                                                                                          ","Rosales vivos rojos o burgundy                                                                                                                                                                                                                                  "
"102025                                                                                                                                                                                                                                                          ","Rosales vivos sweetheart                                                                                                                                                                                                                                        "
"102026                                                                                                                                                                                                                                                          ","Rosales vivos blancos                                                                                                                                                                                                                                           "
"102027                                                                                                                                                                                                                                                          ","Rosales vivos amarillos                                                                                                                                                                                                                                         "
"102028                                                                                                                                                                                                                                                          ","Rosales vivos spray                                                                                                                                                                                                                                             "
"102115                                                                                                                                                                                                                                                          ","Anturios vivos                                                                                                                                                                                                                                                  "
"102116                                                                                                                                                                                                                                                          ","Allium vivo                                                                                                                                                                                                                                                     "
"102117                                                                                                                                                                                                                                                          ","Astromelia viva                                                                                                                                                                                                                                                 "
"102118                                                                                                                                                                                                                                                          ","Amaranto vivo                                                                                                                                                                                                                                                   "
"102119                                                                                                                                                                                                                                                          ","Amaryllis vivo                                                                                                                                                                                                                                                  "
"102120                                                                                                                                                                                                                                                          ","Anémona viva                                                                                                                                                                                                                                                    "
"102121                                                                                                                                                                                                                                                          ","Asclepia viva                                                                                                                                                                                                                                                   "
"102122                                                                                                                                                                                                                                                          ","Aster viva                                                                                                                                                                                                                                                      "
"102123                                                                                                                                                                                                                                                          ","Berzelia viva                                                                                                                                                                                                                                                   "
"102124                                                                                                                                                                                                                                                          ","Bouvaria viva                                                                                                                                                                                                                                                   "
"102125                                                                                                                                                                                                                                                          ","Brodiaea viva                                                                                                                                                                                                                                                   "
"102126                                                                                                                                                                                                                                                          ","Calla viva                                                                                                                                                                                                                                                      "
"102128                                                                                                                                                                                                                                                          ","Celosia viva                                                                                                                                                                                                                                                    "
"102129                                                                                                                                                                                                                                                          ","Narciso vivo                                                                                                                                                                                                                                                    "
"102130                                                                                                                                                                                                                                                          ","Dalia viva                                                                                                                                                                                                                                                      "
"102131                                                                                                                                                                                                                                                          ","Delphinium vivo                                                                                                                                                                                                                                                 "
"102132                                                                                                                                                                                                                                                          ","Clavel (dianthus) vivo                                                                                                                                                                                                                                          "
"102133                                                                                                                                                                                                                                                          ","Eremruses vivas                                                                                                                                                                                                                                                 "
"102134                                                                                                                                                                                                                                                          ","Brezo (erica) viva                                                                                                                                                                                                                                              "
"102135                                                                                                                                                                                                                                                          ","Euphorbia viva                                                                                                                                                                                                                                                  "
"102136                                                                                                                                                                                                                                                          ","Fresia viva                                                                                                                                                                                                                                                     "
"102137                                                                                                                                                                                                                                                          ","Ajedrezada viva                                                                                                                                                                                                                                                 "
"102138                                                                                                                                                                                                                                                          ","Hiniesta viva                                                                                                                                                                                                                                                   "
"102139                                                                                                                                                                                                                                                          ","Margarita viva                                                                                                                                                                                                                                                  "
"102140                                                                                                                                                                                                                                                          ","Jengibre vivo                                                                                                                                                                                                                                                   "
"102141                                                                                                                                                                                                                                                          ","Gladiolo vivo                                                                                                                                                                                                                                                   "
"102142                                                                                                                                                                                                                                                          ","Godetia viva                                                                                                                                                                                                                                                    "
"102143                                                                                                                                                                                                                                                          ","Bromelia viva                                                                                                                                                                                                                                                   "
"102144                                                                                                                                                                                                                                                          ","Gypsophilia viva                                                                                                                                                                                                                                                "
"102145                                                                                                                                                                                                                                                          ","Brezo vivo                                                                                                                                                                                                                                                      "
"102146                                                                                                                                                                                                                                                          ","Heliconia viva                                                                                                                                                                                                                                                  "
"102147                                                                                                                                                                                                                                                          ","Jacinto vivo                                                                                                                                                                                                                                                    "
"102148                                                                                                                                                                                                                                                          ","Hydrangea viva                                                                                                                                                                                                                                                  "
"102149                                                                                                                                                                                                                                                          ","Iris Viva                                                                                                                                                                                                                                                       "
"102150                                                                                                                                                                                                                                                          ","Pata de canguro viva                                                                                                                                                                                                                                            "
"102151                                                                                                                                                                                                                                                          ","Delfinio vivo                                                                                                                                                                                                                                                   "
