"familia","nombre_familia"
"1235                                                                                                                                                                                                                                                            ","Compuestos y mezclas                                                                                                                                                                                                                                            "
"1310                                                                                                                                                                                                                                                            ","Caucho y elastómeros                                                                                                                                                                                                                                            "
"1311                                                                                                                                                                                                                                                            ","Resinas y colofonias y otros materiales derivados de resina                                                                                                                                                                                                     "
"1410                                                                                                                                                                                                                                                            ","Materiales de papel                                                                                                                                                                                                                                             "
"1411                                                                                                                                                                                                                                                            ","Productos de papel                                                                                                                                                                                                                                              "
"1412                                                                                                                                                                                                                                                            ","Papel para uso industrial                                                                                                                                                                                                                                       "
"1510                                                                                                                                                                                                                                                            ","Combustibles                                                                                                                                                                                                                                                    "
"1511                                                                                                                                                                                                                                                            ","Combustibles gaseosos y aditivos                                                                                                                                                                                                                                "
"1512                                                                                                                                                                                                                                                            ","Lubricantes, aceites, grasas y anticorrosivos                                                                                                                                                                                                                   "
"1513                                                                                                                                                                                                                                                            ","Combustible para reactores nucleares                                                                                                                                                                                                                            "
"2010                                                                                                                                                                                                                                                            ","Maquinaria y equipo de minería y explotación de canteras                                                                                                                                                                                                        "
"2011                                                                                                                                                                                                                                                            ","Equipo de perforación y explotación de pozos                                                                                                                                                                                                                    "
"2012                                                                                                                                                                                                                                                            ","Equipo para perforación y exploración de petróleo y gas                                                                                                                                                                                                         "
"2013                                                                                                                                                                                                                                                            ","Materiales para  perforación y operaciones de petróleo y gas                                                                                                                                                                                                    "
"2014                                                                                                                                                                                                                                                            ","Equipo de producción y operación de petróleo y gas                                                                                                                                                                                                              "
"2110                                                                                                                                                                                                                                                            ","Maquinaria y equipo para agricultura, silvicultura y paisajismo                                                                                                                                                                                                 "
"2111                                                                                                                                                                                                                                                            ","Equipo de pesca y acuicultura                                                                                                                                                                                                                                   "
"2210                                                                                                                                                                                                                                                            ","Maquinaria y equipo pesado de construcción                                                                                                                                                                                                                      "
"2310                                                                                                                                                                                                                                                            ","Maquinaria para el procesamiento de materias primas                                                                                                                                                                                                             "
"2311                                                                                                                                                                                                                                                            ","Maquinaria para el procesamiento de petróleo                                                                                                                                                                                                                    "
"2312                                                                                                                                                                                                                                                            ","Maquinaria y accesorios de textiles y tejidos                                                                                                                                                                                                                   "
"2313                                                                                                                                                                                                                                                            ","Maquinaria y equipos lapidarios                                                                                                                                                                                                                                 "
"2314                                                                                                                                                                                                                                                            ","Maquinaria de reparación y accesorios para marroquinería                                                                                                                                                                                                        "
"2315                                                                                                                                                                                                                                                            ","Maquinaria, equipo y suministros de procesos industriales                                                                                                                                                                                                       "
"2316                                                                                                                                                                                                                                                            ","Máquinas, equipo y suministros para fundición                                                                                                                                                                                                                   "
"2318                                                                                                                                                                                                                                                            ","Equipo industrial para alimentos y bebidas                                                                                                                                                                                                                      "
"2319                                                                                                                                                                                                                                                            ","Mezcladores y sus partes y accesorios                                                                                                                                                                                                                           "
"2320                                                                                                                                                                                                                                                            ","Equipamiento para transferencia de masa                                                                                                                                                                                                                         "
"2321                                                                                                                                                                                                                                                            ","Maquinaria de fabricación electrónica, equipo y accesorios                                                                                                                                                                                                      "
"2322                                                                                                                                                                                                                                                            ","Equipo y maquinaria de procesamiento de pollos                                                                                                                                                                                                                  "
"2323                                                                                                                                                                                                                                                            ","Equipo y maquinaria de procesamiento de madera y aserrado                                                                                                                                                                                                       "
"2324                                                                                                                                                                                                                                                            ","Maquinaria y accesorios para cortar metales                                                                                                                                                                                                                     "
"2325                                                                                                                                                                                                                                                            ","Maquinaria y accesorios para el formado de metales                                                                                                                                                                                                              "
"2326                                                                                                                                                                                                                                                            ","Maquinaria y accesorios para hacer prototipos rápidos                                                                                                                                                                                                           "
"2327                                                                                                                                                                                                                                                            ","Maquinaria y accesorios y suministros para soldadura de todas las clases                                                                                                                                                                                        "
"2328                                                                                                                                                                                                                                                            ","Maquinaria para el tratamiento de metal                                                                                                                                                                                                                         "
"2329                                                                                                                                                                                                                                                            ","Herramientas de maquinado industrial                                                                                                                                                                                                                            "
"2330                                                                                                                                                                                                                                                            ","Maquinaria y equipo para cable                                                                                                                                                                                                                                  "
"2410                                                                                                                                                                                                                                                            ","Maquinaria y equipo para manejo de materiales                                                                                                                                                                                                                   "
"2411                                                                                                                                                                                                                                                            ","Recipientes y almacenamiento                                                                                                                                                                                                                                    "
"2412                                                                                                                                                                                                                                                            ","Materiales de empaque                                                                                                                                                                                                                                           "
"2413                                                                                                                                                                                                                                                            ","Refrigeración industrial                                                                                                                                                                                                                                        "
